jugador_id,torneo_id,asistencia,origen,origen_lat,origen_lon,destino,destino_lat,destino_lon
32,127,1,Los Quirquinchos,-33.3751295,-61.7115049,8,-31.203066,-61.479862
32,129,1,Los Quirquinchos,-33.3751295,-61.7115049,2,-33.3751295,-61.7115049
32,131,1,Los Quirquinchos,-33.3751295,-61.7115049,20,-33.3244841,-62.0412914
32,132,1,Los Quirquinchos,-33.3751295,-61.7115049,3,-33.5356733,-61.1287133
32,133,1,Los Quirquinchos,-33.3751295,-61.7115049,6,-33.700647,-61.6136698
32,134,1,Los Quirquinchos,-33.3751295,-61.7115049,20,-33.3244841,-62.0412914
32,135,1,Los Quirquinchos,-33.3751295,-61.7115049,1,-33.5659426,-62.8847199
32,136,1,Los Quirquinchos,-33.3751295,-61.7115049,16,-33.7459475,-61.9638895
36,131,1,Los Quirquinchos,-33.3751295,-61.7115049,19,-33.4583964,-61.4862572
40,111,1,Elortondo,-33.7011985,-61.6160889,10,-31.6148752,-60.7866541
40,116,1,Elortondo,-33.7011985,-61.6160889,1,-33.5659426,-62.8847199
40,131,1,Elortondo,-33.7011985,-61.6160889,20,-33.3244841,-62.0412914
40,132,1,Elortondo,-33.7011985,-61.6160889,3,-33.5356733,-61.1287133
40,133,1,Elortondo,-33.7011985,-61.6160889,6,-33.700647,-61.6136698
42,111,1,Rafaela,-31.2547504,-61.528983,12,-31.724134,-60.5364805
42,117,1,Rafaela,-31.2547504,-61.528983,8,-31.203066,-61.479862
44,112,1,Elortondo,-33.7011985,-61.6160889,6,-33.700647,-61.6136698
44,118,1,Elortondo,-33.7011985,-61.6160889,16,-33.7459475,-61.9638895
44,129,1,Elortondo,-33.7011985,-61.6160889,20,-33.3244841,-62.0412914
44,131,1,Elortondo,-33.7011985,-61.6160889,19,-33.4583964,-61.4862572
44,134,1,Elortondo,-33.7011985,-61.6160889,2,-33.3751295,-61.7115049
44,136,1,Elortondo,-33.7011985,-61.6160889,7,-33.7233238,-62.2456286
49,118,1,Elortondo,-33.7011985,-61.6160889,2,-33.3751295,-61.7115049
49,133,1,Elortondo,-33.7011985,-61.6160889,6,-33.700647,-61.6136698
52,120,1,Los Quirquinchos,-33.3751295,-61.7115049,2,-33.3751295,-61.7115049
52,126,1,Los Quirquinchos,-33.3751295,-61.7115049,10,-31.6148752,-60.7866541
52,129,1,Los Quirquinchos,-33.3751295,-61.7115049,20,-33.3244841,-62.0412914
52,131,1,Los Quirquinchos,-33.3751295,-61.7115049,19,-33.4583964,-61.4862572
52,132,1,Los Quirquinchos,-33.3751295,-61.7115049,3,-33.5356733,-61.1287133
55,111,1,Rafaela,-31.2547504,-61.528983,12,-31.724134,-60.5364805
55,113,1,Rafaela,-31.2547504,-61.528983,19,-33.4583964,-61.4862572
55,114,1,Rafaela,-31.2547504,-61.528983,20,-33.3244841,-62.0412914
55,117,1,Rafaela,-31.2547504,-61.528983,15,-31.5901238,-60.7289541
55,118,1,Rafaela,-31.2547504,-61.528983,16,-33.7459475,-61.9638895
55,120,1,Rafaela,-31.2547504,-61.528983,2,-33.3751295,-61.7115049
55,126,1,Rafaela,-31.2547504,-61.528983,10,-31.6148752,-60.7866541
55,127,1,Rafaela,-31.2547504,-61.528983,8,-31.203066,-61.479862
55,136,1,Rafaela,-31.2547504,-61.528983,7,-33.7233238,-62.2456286
56,117,1,Rafaela,-31.2547504,-61.528983,8,-31.203066,-61.479862
56,127,1,Rafaela,-31.2547504,-61.528983,8,-31.203066,-61.479862
57,127,1,Rafaela,-31.2547504,-61.528983,8,-31.203066,-61.479862
58,127,1,Rafaela,-31.2547504,-61.528983,8,-31.203066,-61.479862
62,113,1,Casilda,-33.044522,-61.1650211,20,-33.3244841,-62.0412914
68,134,1,Carcaraña,-32.8571864,-61.1578169,2,-33.3751295,-61.7115049
71,110,1,Elortondo,-33.7011985,-61.6160889,16,-33.7459475,-61.9638895
71,111,1,Elortondo,-33.7011985,-61.6160889,12,-31.724134,-60.5364805
71,112,1,Elortondo,-33.7011985,-61.6160889,6,-33.700647,-61.6136698
71,114,1,Elortondo,-33.7011985,-61.6160889,20,-33.3244841,-62.0412914
71,116,1,Elortondo,-33.7011985,-61.6160889,1,-33.5659426,-62.8847199
71,118,1,Elortondo,-33.7011985,-61.6160889,16,-33.7459475,-61.9638895
71,120,1,Elortondo,-33.7011985,-61.6160889,2,-33.3751295,-61.7115049
71,132,1,Elortondo,-33.7011985,-61.6160889,3,-33.5356733,-61.1287133
71,133,1,Elortondo,-33.7011985,-61.6160889,16,-33.7459475,-61.9638895
71,134,1,Elortondo,-33.7011985,-61.6160889,2,-33.3751295,-61.7115049
71,135,1,Elortondo,-33.7011985,-61.6160889,1,-33.5659426,-62.8847199
72,111,1,Rafaela,-31.2547504,-61.528983,12,-31.724134,-60.5364805
72,112,1,Rafaela,-31.2547504,-61.528983,6,-33.700647,-61.6136698
72,113,1,Rafaela,-31.2547504,-61.528983,19,-33.4583964,-61.4862572
72,114,1,Rafaela,-31.2547504,-61.528983,20,-33.3244841,-62.0412914
72,127,1,Rafaela,-31.2547504,-61.528983,15,-31.5901238,-60.7289541
76,113,1,Elortondo,-33.7011985,-61.6160889,19,-33.4583964,-61.4862572
77,134,1,Firmat,-33.4583964,-61.4862572,19,-33.4583964,-61.4862572
81,114,1,Los Quirquinchos,-33.3751295,-61.7115049,19,-33.4583964,-61.4862572
81,120,1,Los Quirquinchos,-33.3751295,-61.7115049,20,-33.3244841,-62.0412914
81,131,1,Los Quirquinchos,-33.3751295,-61.7115049,2,-33.3751295,-61.7115049
87,114,1,Los Quirquinchos,-33.3751295,-61.7115049,19,-33.4583964,-61.4862572
87,131,1,Los Quirquinchos,-33.3751295,-61.7115049,2,-33.3751295,-61.7115049
87,132,1,Los Quirquinchos,-33.3751295,-61.7115049,6,-33.700647,-61.6136698
88,131,1,Los Quirquinchos,-33.3751295,-61.7115049,2,-33.3751295,-61.7115049
88,132,1,Los Quirquinchos,-33.3751295,-61.7115049,6,-33.700647,-61.6136698
96,110,1,Venado Tuerto,-33.7455566,-61.9690161,11,-33.7447968,-61.9744751
96,113,1,Venado Tuerto,-33.7455566,-61.9690161,2,-33.3751295,-61.7115049
96,114,1,Venado Tuerto,-33.7455566,-61.9690161,19,-33.4583964,-61.4862572
96,116,1,Venado Tuerto,-33.7455566,-61.9690161,1,-33.5659426,-62.8847199
96,118,1,Venado Tuerto,-33.7455566,-61.9690161,2,-33.3751295,-61.7115049
96,120,1,Venado Tuerto,-33.7455566,-61.9690161,20,-33.3244841,-62.0412914
96,127,1,Venado Tuerto,-33.7455566,-61.9690161,8,-31.203066,-61.479862
96,129,1,Venado Tuerto,-33.7455566,-61.9690161,2,-33.3751295,-61.7115049
96,131,1,Venado Tuerto,-33.7455566,-61.9690161,20,-33.3244841,-62.0412914
96,132,1,Venado Tuerto,-33.7455566,-61.9690161,3,-33.5356733,-61.1287133
96,133,1,Venado Tuerto,-33.7455566,-61.9690161,6,-33.700647,-61.6136698
96,134,1,Venado Tuerto,-33.7455566,-61.9690161,20,-33.3244841,-62.0412914
96,135,1,Venado Tuerto,-33.7455566,-61.9690161,1,-33.5659426,-62.8847199
96,136,1,Venado Tuerto,-33.7455566,-61.9690161,16,-33.7459475,-61.9638895
